iter	Logloss
0	0.6741144531
1	0.6554216146
2	0.6382702474
3	0.6212604167
4	0.6065912109
5	0.5933846354
6	0.579144401
7	0.5660221354
8	0.553513151
9	0.5427842773
10	0.531979069
11	0.5218637695
12	0.5115270508
13	0.5034314453
14	0.4954224609
15	0.4889300456
16	0.4810757813
17	0.4748515625
18	0.4689221029
19	0.4624470052
20	0.4568348307
21	0.4506474609
22	0.4458842448
23	0.4398996745
24	0.4361591146
25	0.4323707031
26	0.4283166667
27	0.4239620117
28	0.4199499349
29	0.4155841797
30	0.4114880859
31	0.408177181
32	0.4057200521
33	0.4025321615
34	0.3992018229
35	0.3960808919
36	0.3937085938
37	0.3916508138
38	0.3888844401
39	0.3866970703
40	0.3846543294
41	0.3826770833
42	0.3810871094
43	0.379713151
44	0.378097819
45	0.3770482422
46	0.3758971354
47	0.3744837891
48	0.3729772461
49	0.371627832
50	0.3702660156
51	0.3689037109
52	0.3671882161
53	0.3654581055
54	0.3645233073
55	0.3636433594
56	0.3626334635
57	0.3619044596
58	0.3612285807
59	0.3601713542
60	0.3588414388
61	0.3579400716
62	0.3569016276
63	0.355581901
64	0.3548916016
65	0.3540726563
66	0.3533734375
67	0.3527630534
68	0.3518326497
69	0.3513572917
70	0.3507499349
71	0.3502470378
72	0.3498874674
73	0.3491938802
74	0.3487067057
75	0.3480925781
76	0.3471766927
77	0.3466429688
78	0.3465056966
79	0.3460173177
80	0.3452422526
81	0.3445316081
82	0.3442617513
83	0.3437498047
84	0.3429515951
85	0.3424305339
86	0.341656543
87	0.3409846029
88	0.3404158203
89	0.3397722005
90	0.3394320964
91	0.3388841471
92	0.3386854167
93	0.3382673177
94	0.3377358073
95	0.3372880859
96	0.3369029297
97	0.336630957
98	0.336101237
99	0.3357985352
100	0.3352957682
101	0.3348201172
102	0.3345120443
103	0.3339581706
104	0.3336945964
105	0.3333981771
106	0.3330775391
107	0.332750651
108	0.3323869792
109	0.3321292643
110	0.3318035807
111	0.3314399089
112	0.3312029948
113	0.3307507161
114	0.3305020508
115	0.330199707
116	0.3299792969
117	0.3296913086
118	0.329435026
119	0.3290927734
120	0.3288281901
121	0.3286163086
122	0.3284313151
123	0.3281635742
124	0.3276722005
125	0.3275169271
126	0.3273303385
127	0.3270246745
128	0.3266602865
129	0.3263848958
130	0.3260891602
131	0.3258379232
132	0.3256240234
133	0.3254613281
134	0.325287793
135	0.3250019531
136	0.3247856771
137	0.3245240234
138	0.3243563151
139	0.3240121745
140	0.3237779622
141	0.3234628581
142	0.3232904297
143	0.3231498047
144	0.3229568359
145	0.3227330078
146	0.3225729167
147	0.3223224935
148	0.322152474
149	0.3218809245
150	0.3217320312
151	0.3215785482
152	0.3213398438
153	0.3211351562
154	0.3209617839
155	0.320754069
156	0.3204935872
157	0.3202610352
158	0.3200829427
159	0.3199204753
160	0.3197902995
161	0.3195744792
162	0.3194434896
163	0.3192792643
164	0.3191418294
165	0.318988151
166	0.3187016276
167	0.3185170573
168	0.3183628581
169	0.3181041016
170	0.3180688151
171	0.3179155273
172	0.3177664714
173	0.3176801432
174	0.3175532227
175	0.3173793294
176	0.3171785156
177	0.3170609375
178	0.3168695638
179	0.3167624023
180	0.3165469727
181	0.316301237
182	0.3161326497
183	0.3160238281
184	0.3159239583
185	0.3158055339
186	0.3156034505
187	0.3155551107
188	0.3153702474
189	0.315201237
190	0.3150148437
191	0.3149041992
192	0.3147876628
193	0.3146505208
194	0.3145157878
195	0.3142746745
196	0.3141380208
197	0.314001237
198	0.3138603516
199	0.3136520833
200	0.3134844401
201	0.313385026
202	0.3132274089
203	0.3130958984
204	0.3130588542
205	0.3129353516
206	0.3127868164
207	0.3126560872
208	0.3124457031
209	0.3122444661
210	0.3119973958
211	0.3118310547
212	0.3117204427
213	0.3115273438
214	0.3115191081
215	0.3112872396
216	0.3111821615
217	0.3110813477
218	0.3109834635
219	0.3108967448
220	0.3107496745
221	0.3106405924
222	0.3105086589
223	0.310306543
224	0.310130013
225	0.3100556315
226	0.3099537435
227	0.3098314128
228	0.309603776
229	0.3094147786
230	0.3092323242
231	0.309110026
232	0.3089947591
233	0.3087525391
234	0.3085805664
235	0.3084358724
236	0.3083044271
237	0.3081089193
238	0.3078385417
239	0.3076952474
240	0.3075791341
241	0.3073774414
242	0.3072542969
243	0.3071317383
244	0.30705
245	0.3069809245
246	0.3068940755
247	0.3067742839
248	0.3066130859
249	0.3064833008
250	0.3063604167
251	0.3062559896
252	0.3060847982
253	0.3059945964
254	0.3058827474
255	0.3058030599
256	0.305763737
257	0.3056533854
258	0.3055640299
259	0.3055033854
260	0.3054103841
261	0.3052615234
262	0.3051677083
263	0.3050628906
264	0.3049063151
265	0.3048015625
266	0.3046621094
267	0.3045574544
268	0.3044123698
269	0.304120638
270	0.3039986654
271	0.303819987
272	0.3036315104
273	0.3034326172
274	0.3032995768
275	0.3031276693
276	0.3029094401
277	0.3027243815
278	0.3025173828
279	0.3023477865
